cohort,dataset,dx,count
SRPBS1600,SRPBS,control_schizophrenia,706
B-SNIP,B-SNIP,control_schizophrenia,403
B-SNIP,B-SNIP,schizophrenia,238
SchizConnect,NUSDAST,control_schizophrenia,180
SRPBS1600,SRPBS,schizophrenia,140
SchizConnect,NUSDAST,schizophrenia,134
SCZIowa,SCZIowa,control_schizophrenia,121
CNP,CNP,control_schizophrenia,121
SCZIowa,SCZIowa,schizophrenia,85
SchizConnect,BrainGluSchi,control_schizophrenia,85
SchizConnect,COBRE,control_schizophrenia,81
SchizConnect,BrainGluSchi,schizophrenia,77
SchizConnect,COBRE,schizophrenia,68
CNP,CNP,schizophrenia,49
SchizConnect,NMorphCH,schizophrenia,38
SchizConnect,NMorphCH,control_schizophrenia,34
SchizConnect,MCIC,schizophrenia,31
SchizConnect,MCIC,control_schizophrenia,25
